ticker	score	verdict	price	target	upside	tier	catalyst	risk_level	one_liner
000660.KS	88	BUY	974000	1250000	+28%	Duopoly Chokepoint	HBM4 leadership + fully committed 2026 DRAM/NAND supply	Medium	HBM leader with record margins, record 2025 profits, and full-stack AI memory leverage
MU	86	BUY	404	520	+29%	Oligopoly with Moat	HBM4 ramp + supply tight beyond 2026	Medium	Pure-play U.S. memory winner with record margins, sold-through AI mix, and AI SSD upside
042700.KS	83	BUY	290000	360000	+24%	Monopoly / Duopoly Chokepoint	TC bonder capacity for HBM4	High	Picks-and-shovels bottleneck inside HBM stacking with scarce competitors and high operating leverage
0522.HK	81	BUY	104.2	130	+25%	Oligopoly with Moat	HBM4 TCB orders from multiple players	Medium	Underfollowed advanced-packaging leader with rising HBM4 share and 500-plus TCB installed base
FORM	79	BUY	97.2	120	+23%	Oligopoly with Moat	Volume shipments to all 3 HBM makers	Medium	Underfollowed HBM probe-card play where test intensity rises with every generation
SIMO	78	BUY	123.73	150	+21%	Oligopoly with Moat	MonTitan and PCIe Gen5 controller ramp in AI storage	Medium	Global merchant NAND-controller leader gaining from AI boot drives and SSD complexity
SNDK	77	BUY	702.49	850	+21%	Qualified Supplier with Leverage	AI SSD demand outpacing supply + HBF optionality	Medium	Newly separated flash pure-play with accelerating AI SSD deployments and improving cash generation
6857.T	76	BUY	22280	26000	+17%	Oligopoly with Moat	CY2026 tester market growth tied to AI memory	Low-Medium	Memory test bottleneck that benefits from AI DRAM complexity without direct memory pricing risk
285A.T	74	HOLD	20930	25000	+19%	Qualified Supplier with Leverage	AI inference flash demand + enterprise SSD mix	Medium	Underfollowed listed NAND champion with 29% share and direct AI storage leverage
005930.KS	71	HOLD	188800	220000	+17%	Oligopoly with Moat	HBM4 qualification + AI server memory mix	Medium	Scale leader in memory, but HBM execution still trails the highest-conviction names
